Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Total_Revolving_Bal,Credit_Limit,Months_on_book,Total_Relationship_Count,Avg_Utilization_Ratio,Contacts_Count_12_mon,Months_Inactive_12_mon,Dependent_count,Cluster,Attrition_Flag
602,15,0.364,1.041,0,15769.0,36,1,0.0,3,3,2,3,Attrited Customer
1052,32,0.6,0.678,2200,3298.0,36,6,0.667,2,4,4,2,Existing Customer
1295,40,0.6,0.75,2363,2802.0,36,2,0.843,0,2,3,2,Existing Customer
1424,29,1.417,1.107,1880,4458.0,50,4,0.422,3,2,2,0,Existing Customer
1359,25,1.083,2.275,978,6273.0,35,4,0.156,2,1,5,5,Existing Customer
1168,27,1.25,0.69,1753,3336.0,34,4,0.525,3,4,2,2,Existing Customer
1097,33,0.833,0.901,2016,3436.0,47,4,0.587,3,2,3,0,Existing Customer
691,15,0.5,0.763,0,34516.0,35,2,0.0,4,4,2,4,Attrited Customer
1316,28,1.154,0.944,1251,5926.0,33,5,0.211,3,3,1,0,Existing Customer
1276,26,0.733,0.997,2102,23957.0,32,2,0.088,2,4,4,4,Existing Customer
1289,23,0.917,0.989,1634,14734.0,44,4,0.111,2,2,2,0,Existing Customer
1293,32,0.6,0.592,1515,34516.0,38,4,0.044,4,1,4,4,Existing Customer
1353,35,0.667,0.62,1817,6584.0,52,5,0.276,3,3,2,0,Existing Customer
1132,28,0.556,1.004,1468,2084.0,20,6,0.704,3,3,2,2,Existing Customer
1670,17,2.4,1.715,1107,1687.0,32,2,0.656,2,2,2,2,Existing Customer
837,15,2.0,1.072,1330,25300.0,38,6,0.053,2,2,2,4,Existing Customer
1550,41,1.05,1.266,1763,34516.0,42,3,0.051,3,2,4,4,Existing Customer
1540,36,0.286,0.758,1034,2216.0,42,5,0.467,3,3,2,3,Existing Customer
1256,21,0.4,0.769,2030,2910.0,43,4,0.698,3,2,1,0,Existing Customer
1394,35,0.522,0.414,1528,22913.0,37,6,0.067,2,2,5,4,Existing Customer
1341,24,1.182,1.312,1932,24312.0,35,3,0.079,3,3,1,4,Existing Customer
1289,33,0.435,0.857,1515,5272.0,36,5,0.287,2,3,2,3,Existing Customer
1112,23,1.875,0.475,2517,7000.0,36,6,0.36,2,4,4,2,Existing Customer
2339,57,0.966,0.751,1801,7038.0,29,4,0.256,2,4,3,2,Existing Customer
1468,23,0.353,0.703,1823,2536.0,30,6,0.719,2,1,3,2,Existing Customer
1334,35,0.4,0.85,1899,28904.0,38,6,0.066,2,3,2,4,Existing Customer
1457,41,1.412,1.242,1695,8567.0,37,4,0.198,0,4,3,2,Existing Customer
1603,29,0.526,0.924,1533,34516.0,36,6,0.044,2,2,1,4,Existing Customer
615,12,0.714,0.585,0,2158.0,45,2,0.0,3,4,4,3,Attrited Customer
1068,20,0.818,0.383,1417,10133.0,52,2,0.14,3,3,1,3,Existing Customer
1590,27,2.0,1.129,1219,34516.0,35,5,0.035,2,4,1,4,Existing Customer
1531,35,0.667,0.921,1910,3085.0,47,5,0.619,0,3,2,0,Existing Customer
1212,31,0.722,0.607,2056,19040.0,35,4,0.108,1,2,2,4,Existing Customer
1237,32,0.6,0.483,0,4026.0,35,5,0.0,3,2,3,3,Existing Customer
1413,14,1.8,1.932,837,12756.0,31,4,0.066,1,3,3,5,Existing Customer
1516,29,1.636,1.702,0,5266.0,45,5,0.0,3,3,2,5,Existing Customer
1276,21,1.333,0.731,0,9930.0,36,3,0.0,2,2,2,5,Existing Customer
1564,35,2.182,0.875,1953,31302.0,38,4,0.062,0,3,4,4,Existing Customer
1465,34,0.619,0.579,0,6576.0,36,4,0.0,3,4,1,3,Existing Customer
1286,29,0.933,0.85,2037,2664.0,42,5,0.765,1,4,0,0,Existing Customer
1312,20,1.222,1.705,2440,2535.0,28,5,0.963,2,1,3,2,Existing Customer
1673,32,0.882,1.656,895,1709.0,52,6,0.524,3,4,1,0,Existing Customer
1313,30,0.304,0.597,1200,3454.0,35,5,0.347,2,4,3,3,Existing Customer
1609,42,0.68,1.047,1706,3789.0,35,5,0.45,2,3,3,2,Existing Customer
1158,19,0.727,0.576,2250,9689.0,50,3,0.232,0,2,3,0,Existing Customer
836,18,0.385,0.696,1628,5449.0,37,2,0.299,3,3,2,3,Attrited Customer
1289,22,1.0,0.619,1960,23032.0,43,4,0.085,0,4,3,4,Existing Customer
1487,26,0.733,1.034,2053,34516.0,34,5,0.059,3,3,3,4,Existing Customer
1259,33,0.5,0.562,1264,2940.0,34,6,0.43,2,2,3,3,Existing Customer
1298,15,1.5,0.788,1879,3031.0,32,3,0.62,3,3,2,2,Existing Customer
1226,34,0.789,0.883,0,1862.0,25,3,0.0,0,3,3,5,Existing Customer
1566,37,0.542,0.762,926,8358.0,33,2,0.111,3,3,4,3,Existing Customer
1022,21,1.1,0.828,931,34516.0,36,6,0.027,2,1,2,4,Existing Customer
1235,30,0.667,1.283,2440,14450.0,36,5,0.169,3,2,1,0,Existing Customer
1951,44,1.095,0.813,0,1438.3,56,6,0.0,0,0,1,5,Existing Customer
1047,31,0.824,0.618,1960,33791.0,36,6,0.058,2,3,4,4,Existing Customer
1342,32,0.391,0.56,1886,8466.0,39,4,0.223,0,3,4,3,Existing Customer
1107,21,1.625,0.939,865,15088.0,36,5,0.057,3,3,3,4,Existing Customer
1251,35,0.346,0.588,1674,3263.0,36,5,0.513,2,1,4,2,Existing Customer
1305,24,3.0,1.674,706,1494.0,36,2,0.473,2,2,0,5,Existing Customer
1388,37,1.056,0.791,1294,13551.0,35,6,0.095,0,1,3,4,Existing Customer
1235,18,1.571,1.826,895,18886.0,36,6,0.047,2,2,1,4,Existing Customer
2089,36,1.118,1.024,1273,11976.0,48,3,0.106,0,2,3,5,Existing Customer
1626,25,0.786,1.873,1559,9964.0,39,4,0.156,4,1,3,0,Existing Customer
1111,24,1.0,0.712,1196,24159.0,36,4,0.05,3,6,1,4,Existing Customer
1553,38,1.0,0.816,1901,5362.0,44,3,0.355,3,2,2,0,Existing Customer
1064,13,0.625,1.004,1023,34516.0,36,3,0.03,2,2,2,4,Existing Customer
1243,29,0.611,0.766,1951,3174.0,36,4,0.615,0,1,1,0,Existing Customer
1659,38,1.533,1.584,1836,12262.0,47,3,0.15,2,2,1,0,Existing Customer
1594,47,0.382,0.566,1540,3788.0,41,4,0.407,3,3,3,3,Existing Customer
1268,42,0.355,0.526,1527,34516.0,42,2,0.044,2,3,2,4,Existing Customer
1304,24,0.846,0.676,0,2926.0,36,4,0.0,2,2,3,3,Existing Customer
1368,30,0.364,0.567,0,32090.0,52,6,0.0,0,1,4,4,Existing Customer
720,23,0.353,0.622,2227,11669.0,41,3,0.191,2,3,2,3,Attrited Customer
1521,29,1.417,0.846,1300,13532.0,45,3,0.096,2,1,2,0,Existing Customer
1137,30,0.765,0.7,2090,11888.0,36,4,0.176,2,2,1,0,Existing Customer
978,16,0.778,0.788,1985,2393.0,36,5,0.83,2,1,1,0,Existing Customer
1221,16,2.2,0.632,2517,6111.0,39,5,0.412,2,1,4,2,Existing Customer
1565,28,1.545,1.186,1662,19270.0,46,3,0.086,3,2,4,4,Existing Customer
1578,34,0.7,1.541,2517,3710.0,43,3,0.678,4,1,1,0,Existing Customer
1493,32,1.0,0.541,797,3235.0,37,2,0.246,3,1,2,3,Existing Customer
1178,27,0.929,0.688,788,11749.0,38,3,0.067,0,1,3,5,Existing Customer
991,26,0.733,0.839,2100,7753.0,36,5,0.271,2,3,2,0,Existing Customer
2560,42,1.211,1.689,1186,10408.0,40,5,0.114,0,1,4,5,Existing Customer
1657,29,1.231,1.236,1568,3967.0,36,6,0.395,3,2,1,0,Existing Customer
1204,19,0.727,0.939,2517,6205.0,27,4,0.406,2,2,2,2,Existing Customer
673,18,0.8,0.654,0,8025.0,38,1,0.0,3,3,5,3,Attrited Customer
1131,18,0.636,0.649,2327,9036.0,42,6,0.258,3,2,1,0,Existing Customer
1576,25,1.5,1.996,2517,14926.0,34,2,0.169,2,3,4,2,Existing Customer
1217,20,0.667,0.397,1128,6335.0,36,3,0.178,3,2,1,3,Existing Customer
530,10,1.0,0.71,0,14979.0,53,2,0.0,3,3,1,3,Attrited Customer
739,16,0.455,0.76,0,2732.0,38,3,0.0,3,2,4,3,Attrited Customer
1617,31,2.875,1.162,2117,2250.0,32,6,0.941,2,3,2,2,Existing Customer
1592,34,1.0,1.317,1536,10916.0,50,3,0.141,0,2,2,0,Existing Customer
1343,30,1.308,0.728,1228,5349.0,36,4,0.23,3,1,4,2,Existing Customer
1303,39,0.625,0.572,1104,9366.0,24,4,0.118,3,1,2,3,Existing Customer
1351,22,0.467,1.047,0,21617.0,28,5,0.0,0,1,3,4,Existing Customer
1910,32,1.909,1.255,1652,13860.0,56,5,0.119,3,2,1,0,Existing Customer
1298,22,0.571,0.868,0,18386.0,31,2,0.0,3,2,1,3,Existing Customer
1087,29,1.231,0.469,1540,2405.0,41,6,0.64,2,2,4,2,Existing Customer
1439,26,1.364,2.121,930,2154.0,47,4,0.432,3,2,1,0,Existing Customer
1238,28,0.75,0.786,0,2038.0,36,3,0.0,3,3,5,3,Existing Customer
1716,29,0.812,1.373,0,8135.0,38,6,0.0,3,1,4,5,Existing Customer
1099,27,0.8,0.554,618,9364.0,38,6,0.066,3,1,1,3,Existing Customer
1058,24,2.429,1.3,0,32643.0,35,4,0.0,2,3,2,4,Existing Customer
1285,29,0.706,0.971,1954,3195.0,34,2,0.612,1,3,4,2,Existing Customer
1651,28,1.0,1.009,1024,2852.0,43,5,0.359,1,2,0,0,Existing Customer
1152,31,0.824,0.852,1305,4224.0,36,2,0.309,3,3,1,0,Existing Customer
1767,38,2.167,1.248,2071,20459.0,36,3,0.101,2,2,1,4,Existing Customer
1039,24,0.263,0.508,2114,3482.0,41,6,0.607,3,5,4,3,Existing Customer
1130,28,1.333,1.077,1570,3065.0,40,5,0.512,3,2,4,2,Existing Customer
1645,30,0.429,0.682,1761,2185.0,43,3,0.806,2,1,3,2,Existing Customer
1413,29,0.706,0.993,746,1611.0,36,4,0.463,0,1,3,2,Existing Customer
1218,23,2.286,1.456,2173,2822.0,47,3,0.77,3,3,4,2,Existing Customer
597,17,0.7,0.658,2517,32975.0,33,6,0.076,3,3,5,4,Attrited Customer
2184,53,0.828,0.776,0,1438.3,47,5,0.0,2,2,3,5,Existing Customer
1592,37,1.467,0.86,1719,15875.0,36,4,0.108,3,3,4,4,Existing Customer
1388,28,0.75,0.567,893,6703.0,45,6,0.133,3,3,1,0,Existing Customer
757,20,0.25,0.713,0,3212.0,36,2,0.0,1,2,2,3,Attrited Customer
1504,34,0.789,0.588,1260,34516.0,45,3,0.037,3,1,2,4,Existing Customer
1503,34,0.478,0.644,1434,9797.0,36,4,0.146,2,1,3,3,Existing Customer
1105,28,0.867,0.791,1777,10400.0,36,5,0.171,2,2,5,2,Existing Customer
2398,47,0.88,1.432,1836,26792.0,42,2,0.069,2,1,3,4,Existing Customer
1661,32,1.0,2.053,2517,3006.0,56,4,0.837,2,3,1,0,Existing Customer
1421,22,1.444,0.706,1072,19482.0,36,6,0.055,0,3,2,4,Existing Customer
999,28,0.556,0.35,985,3356.0,36,4,0.294,3,2,1,3,Existing Customer
1387,18,0.8,1.791,2248,5771.0,34,3,0.39,1,2,2,2,Existing Customer
1243,24,1.0,0.948,2107,11106.0,36,6,0.19,3,2,3,0,Existing Customer
1860,36,1.0,1.334,2001,2890.0,54,5,0.692,0,3,1,0,Existing Customer
1502,25,1.273,0.747,1701,3380.0,45,6,0.503,2,2,1,0,Existing Customer
1460,50,1.083,0.949,1251,21331.0,36,2,0.059,2,1,3,4,Existing Customer
1348,27,0.286,0.646,0,12860.0,38,6,0.0,1,2,3,3,Existing Customer
1087,33,0.941,1.161,462,6278.0,33,3,0.074,0,1,3,5,Existing Customer
1226,33,0.571,0.782,738,1438.3,55,5,0.513,3,1,0,0,Existing Customer
1230,28,0.867,0.701,1626,9355.0,36,5,0.174,2,1,2,0,Existing Customer
1555,32,0.684,0.688,0,20758.0,31,6,0.0,3,1,2,4,Existing Customer
1827,24,3.0,1.768,1976,14612.0,47,5,0.135,1,3,1,0,Existing Customer
1376,35,0.591,0.731,0,27259.0,27,5,0.0,0,2,4,4,Existing Customer
1771,37,0.762,0.896,1594,6347.0,47,4,0.251,3,2,3,0,Existing Customer
1873,52,0.529,1.097,1676,21592.0,41,3,0.078,0,3,3,4,Existing Customer
1679,42,0.556,0.971,1598,3449.0,44,5,0.463,1,1,5,2,Existing Customer
1002,22,0.571,0.819,799,6028.0,34,2,0.133,2,1,3,3,Existing Customer
1344,21,1.1,0.829,1998,18214.0,36,3,0.11,3,2,0,0,Existing Customer
1461,42,0.75,1.642,1423,16393.0,43,3,0.087,1,3,3,4,Existing Customer
760,21,0.615,0.743,900,1438.3,52,1,0.626,2,3,0,0,Attrited Customer
1428,22,1.444,1.242,1687,7871.0,36,4,0.214,2,1,1,0,Existing Customer
1777,42,0.75,0.869,866,5288.0,36,5,0.164,0,3,4,5,Existing Customer
1302,27,0.8,0.619,2006,11376.0,32,4,0.176,3,5,5,3,Existing Customer
1483,41,0.519,1.509,1632,12302.0,41,4,0.133,3,5,3,4,Existing Customer
1060,27,0.5,0.623,1679,34516.0,33,3,0.049,1,2,4,4,Existing Customer
1330,32,0.684,0.505,1468,34516.0,32,4,0.043,2,2,2,4,Existing Customer
1229,27,0.8,0.504,1580,10514.0,35,3,0.15,2,2,1,3,Existing Customer
886,27,0.421,0.707,0,1438.3,43,2,0.0,3,4,2,3,Attrited Customer
844,24,0.5,0.688,0,1438.3,46,3,0.0,3,3,2,3,Attrited Customer
1450,37,0.947,1.259,1779,2619.0,56,2,0.679,2,1,1,0,Existing Customer
2311,48,0.714,1.071,2395,24407.0,53,2,0.098,0,3,2,4,Existing Customer
1378,26,1.167,0.93,1649,2377.0,36,4,0.694,2,1,2,2,Existing Customer
1033,26,1.364,1.327,1359,34516.0,40,3,0.039,3,2,0,4,Existing Customer
1523,40,1.105,0.869,2207,11086.0,47,5,0.199,3,3,3,0,Existing Customer
1374,37,0.762,0.615,2517,11432.0,36,4,0.22,2,2,3,2,Existing Customer
1080,21,1.333,0.908,1721,13258.0,36,5,0.13,2,3,4,4,Existing Customer
1234,24,0.714,0.531,1955,2571.0,36,3,0.76,3,2,2,0,Existing Customer
1600,32,0.455,0.638,1168,5781.0,31,5,0.202,0,2,4,3,Existing Customer
1155,32,0.882,0.971,2509,7872.0,30,5,0.319,2,1,4,2,Existing Customer
1353,33,0.737,0.603,1202,34516.0,35,6,0.035,2,1,3,4,Existing Customer
1546,25,1.273,2.368,1835,11127.0,38,4,0.165,3,1,3,2,Existing Customer
1590,43,1.263,0.579,1603,1857.0,43,2,0.863,3,1,2,0,Existing Customer
1448,22,1.0,1.008,1272,1913.0,36,5,0.665,0,1,1,0,Existing Customer
1271,24,0.714,0.569,2295,3839.0,24,5,0.598,0,3,4,2,Existing Customer
1223,20,0.538,0.616,1141,2115.0,39,6,0.539,3,2,3,3,Existing Customer
1117,29,1.071,0.859,679,1438.3,27,5,0.472,2,2,2,2,Existing Customer
994,24,0.846,0.75,1789,27756.0,28,4,0.064,0,3,2,4,Existing Customer
1468,26,0.625,0.81,0,1438.3,32,4,0.0,2,1,3,3,Existing Customer
1658,38,0.357,0.853,2222,13878.0,34,6,0.16,2,4,2,3,Existing Customer
1368,38,0.407,0.604,1304,3106.0,36,3,0.42,3,1,2,3,Existing Customer
1218,18,0.8,0.613,1666,34516.0,44,4,0.048,3,3,2,4,Existing Customer
702,12,0.714,0.838,1025,1438.3,50,4,0.713,3,4,1,0,Attrited Customer
1516,21,2.0,1.727,1740,18871.0,46,2,0.092,0,3,2,4,Existing Customer
1310,26,1.0,1.073,1748,5207.0,29,5,0.336,2,2,5,2,Existing Customer
1767,50,0.923,0.921,1644,17965.0,36,6,0.092,2,2,3,4,Existing Customer
933,25,0.923,0.767,1819,2733.0,37,6,0.666,3,3,1,0,Existing Customer
1512,27,1.455,1.207,1301,8863.0,48,4,0.147,2,3,2,0,Existing Customer
829,17,0.7,0.723,1833,1857.0,36,2,0.987,3,3,1,0,Attrited Customer
1120,27,0.35,0.483,0,34516.0,33,3,0.0,3,3,3,4,Existing Customer
1506,33,0.941,0.538,1222,11107.0,30,5,0.11,3,3,2,3,Existing Customer
1384,36,2.273,0.621,1585,21573.0,34,4,0.073,2,1,4,4,Existing Customer
817,30,0.667,0.993,2517,2859.0,33,2,0.88,3,3,2,2,Attrited Customer
2094,25,0.667,1.148,1475,5269.0,36,4,0.28,2,2,2,0,Existing Customer
815,21,0.615,0.734,0,1438.3,45,2,0.0,3,2,5,3,Attrited Customer
510,24,0.6,0.789,0,3387.0,36,1,0.0,2,3,2,3,Attrited Customer
1377,49,0.69,0.939,1289,1982.0,46,6,0.65,3,2,2,0,Existing Customer
1193,33,0.65,0.912,1650,4645.0,43,2,0.355,2,2,3,0,Existing Customer
1287,36,0.636,0.343,1666,2189.0,36,6,0.761,2,3,3,2,Existing Customer
701,19,0.727,0.98,0,2442.0,30,3,0.0,3,3,4,3,Attrited Customer
1770,25,0.923,1.018,1532,21304.0,38,4,0.072,2,1,3,4,Existing Customer
1409,35,0.167,0.435,2480,7577.0,36,5,0.327,2,1,2,3,Existing Customer
1354,28,0.647,0.868,1486,3234.0,31,4,0.459,2,1,3,2,Existing Customer
1765,34,1.615,1.363,1125,4469.0,36,5,0.252,2,3,0,0,Existing Customer
1192,27,0.588,0.538,709,2910.0,46,6,0.244,4,3,3,3,Existing Customer
687,17,0.545,0.616,1054,3616.0,48,2,0.291,3,4,0,3,Attrited Customer
1227,15,0.875,0.581,1495,3252.0,56,3,0.46,3,2,0,0,Existing Customer
1737,26,1.6,0.969,1152,2358.0,36,4,0.489,3,3,2,0,Existing Customer
1348,34,1.125,0.769,953,22322.0,36,4,0.043,0,1,4,4,Existing Customer
1435,38,0.462,0.609,1510,3133.0,39,4,0.482,2,2,1,0,Existing Customer
1321,28,0.75,0.456,849,3540.0,35,2,0.24,0,3,2,3,Existing Customer
1479,29,0.611,0.73,1378,6990.0,23,6,0.197,2,3,1,3,Existing Customer
1283,39,1.294,0.854,1652,34516.0,22,2,0.048,3,2,2,4,Existing Customer
689,23,0.353,1.038,0,1438.3,40,1,0.0,1,4,0,3,Attrited Customer
965,17,1.125,0.655,1171,24396.0,35,6,0.048,2,3,4,4,Existing Customer
1541,40,1.0,1.53,2143,2474.0,36,2,0.866,2,3,1,2,Existing Customer
1258,23,1.3,0.707,795,5214.0,32,5,0.152,3,1,2,5,Existing Customer
1339,20,0.538,0.708,1650,5207.0,46,5,0.317,2,2,2,0,Existing Customer
1007,22,1.444,0.701,1082,9512.0,25,2,0.114,2,2,3,5,Existing Customer
1387,33,1.357,0.617,2430,3187.0,23,6,0.762,2,3,4,2,Existing Customer
960,18,0.385,1.021,0,3353.0,53,1,0.0,3,3,0,3,Attrited Customer
1119,18,3.5,0.923,1434,2290.0,38,3,0.626,3,3,5,2,Existing Customer
1642,41,0.519,0.549,1115,5279.0,43,6,0.211,3,1,3,3,Existing Customer
1382,31,1.067,0.795,0,23603.0,29,5,0.0,0,3,2,4,Existing Customer
1232,32,0.684,0.814,0,2601.0,45,6,0.0,2,2,0,0,Existing Customer
1542,16,1.286,0.838,1029,6363.0,40,4,0.162,0,3,4,5,Existing Customer
1094,32,0.524,0.826,1576,8029.0,36,4,0.196,3,3,3,3,Existing Customer
1217,30,1.143,0.759,1769,2410.0,31,2,0.734,2,2,4,2,Existing Customer
744,18,1.0,0.898,0,3401.0,36,1,0.0,2,1,2,5,Attrited Customer
1614,33,0.737,0.84,1007,2260.0,23,4,0.446,0,2,4,2,Existing Customer
1747,31,1.214,1.302,2481,17682.0,30,5,0.14,2,2,4,4,Existing Customer
1144,22,1.0,0.587,1100,4206.0,42,3,0.262,3,1,4,3,Existing Customer
1575,34,2.4,1.117,1440,34516.0,37,4,0.042,2,3,1,4,Existing Customer
1463,24,1.667,0.859,2168,23018.0,36,4,0.094,0,3,4,4,Existing Customer
1706,21,1.625,1.434,1711,5556.0,44,5,0.308,3,2,1,0,Existing Customer
909,14,0.273,1.129,0,6094.0,44,3,0.0,1,3,2,3,Attrited Customer
2434,33,1.538,2.145,1999,2939.0,52,3,0.68,2,1,0,0,Existing Customer
1876,41,0.783,1.015,1274,5362.0,48,2,0.238,0,1,0,0,Existing Customer
1000,25,0.786,0.953,0,27126.0,36,3,0.0,3,3,2,4,Attrited Customer
1139,30,0.765,0.771,2517,3342.0,36,6,0.753,2,3,4,2,Existing Customer
799,21,0.235,0.491,2221,2532.0,40,6,0.877,2,2,4,2,Attrited Customer
1881,45,0.607,0.89,1376,1900.0,46,2,0.724,3,2,3,0,Existing Customer
1273,27,0.588,0.955,1703,14546.0,37,2,0.117,2,3,3,4,Existing Customer
1328,33,0.571,0.587,1608,2521.0,36,2,0.638,2,3,4,2,Existing Customer
1579,36,1.118,0.631,1682,16427.0,36,3,0.102,3,4,2,4,Existing Customer
937,28,0.556,0.607,1718,13068.0,36,5,0.131,2,1,2,3,Existing Customer
1749,37,2.083,1.178,1814,23218.0,33,6,0.078,0,3,2,4,Existing Customer
1424,29,1.417,1.859,837,3281.0,36,5,0.255,3,1,0,0,Existing Customer
2011,41,0.783,0.799,2217,3096.0,47,5,0.716,2,3,2,0,Existing Customer
1208,31,0.632,0.728,1250,2052.0,52,5,0.609,3,2,0,0,Existing Customer
1259,24,1.0,0.888,583,1438.3,30,2,0.405,0,3,1,2,Existing Customer
1319,26,0.368,0.612,1418,9432.0,39,2,0.15,2,3,3,3,Existing Customer
949,27,2.0,0.804,2303,14938.0,45,5,0.154,3,2,0,0,Existing Customer
1338,30,1.308,0.869,1343,2221.0,36,5,0.605,2,3,2,2,Existing Customer
1554,26,0.444,0.657,1577,5731.0,37,6,0.275,0,3,3,3,Existing Customer
1350,32,0.455,0.722,2061,34516.0,33,2,0.06,3,2,4,4,Existing Customer
1694,44,0.76,0.963,1130,6985.0,22,5,0.162,2,2,3,2,Existing Customer
1678,40,0.538,0.816,1707,24221.0,42,3,0.07,0,3,2,4,Existing Customer
2069,43,0.536,0.742,0,15439.0,24,4,0.0,1,1,3,5,Existing Customer
1222,23,0.438,0.776,2030,21637.0,36,6,0.094,2,3,4,4,Existing Customer
1536,37,0.423,0.788,0,14543.0,37,2,0.0,2,3,2,3,Existing Customer
1400,31,2.1,0.697,2475,9684.0,36,2,0.256,1,1,4,2,Existing Customer
1050,28,1.154,0.885,930,5007.0,36,2,0.186,2,2,2,5,Existing Customer
1389,33,1.2,0.984,1047,1616.0,54,3,0.648,0,2,0,0,Existing Customer
1184,29,0.611,0.656,0,19116.0,40,5,0.0,2,2,2,3,Existing Customer
